train_loss,val_loss,train_acc,val_acc
2.6260260220908336,2.892878749560862,0.13734567901234568,0.10328638497652583
2.3385022108446916,3.4388511485896758,0.20113168724279834,0.1596244131455399
2.214280559692854,3.430282838467701,0.25617283950617287,0.1267605633802817
2.1621337633564637,2.363660816855274,0.2602880658436214,0.20187793427230047
2.027549628858213,2.4220067788737483,0.28858024691358025,0.22300469483568075
1.9359375120681008,2.4805375516694474,0.32664609053497945,0.22065727699530516
1.83199497113012,2.1824976849444035,0.3497942386831276,0.2676056338028169
1.72930330013542,2.111655120558582,0.38425925925925924,0.28169014084507044
1.6081498714140903,2.1287151992041182,0.41460905349794236,0.32629107981220656
1.5616228982744884,1.6981300871137162,0.4351851851851852,0.3873239436619718
1.4157933035995736,2.791745884317747,0.46502057613168724,0.2511737089201878
1.3828097498465959,1.7217474386725626,0.49691358024691357,0.43896713615023475
1.284993396864997,1.7273879963467378,0.5200617283950617,0.431924882629108
1.2997806827717848,2.4787629056424603,0.5169753086419753,0.2887323943661972
1.1680403246310513,1.5266139389763416,0.5653292181069959,0.5023474178403756
1.0847636799753448,1.4658764992521403,0.5771604938271605,0.5375586854460094
1.0847791735036874,1.3510294648962962,0.5751028806584362,0.5563380281690141
1.0111642784051935,1.435210623931437,0.6039094650205762,0.5610328638497653
0.9352568081376974,1.399507032873485,0.6311728395061729,0.5586854460093896
0.9427442332354102,1.3316982939769404,0.6440329218106996,0.568075117370892
0.8995658635111993,1.2693732836996445,0.654320987654321,0.6126760563380281
0.8291662031240424,1.2578715947872037,0.6728395061728395,0.5985915492957746
0.8340617955466847,1.2368777162032507,0.6656378600823045,0.6173708920187794
0.8297819360293479,1.2509026093662066,0.6872427983539094,0.596244131455399
0.8540966186994388,1.232846346819345,0.6728395061728395,0.5985915492957746
