train_loss,val_loss,train_acc,val_acc
2.061792685661787,1.4542705721698457,0.35699588477366256,0.5751173708920188
1.1671635143060253,0.9255623358516066,0.6656378600823045,0.7723004694835681
0.8568464623066624,0.7586041758877571,0.7566872427983539,0.8075117370892019
0.7481408911477391,0.6722561701642515,0.7700617283950617,0.8145539906103286
0.6470757580588384,0.6129653470616945,0.8050411522633745,0.8309859154929577
0.5565494205726027,0.6268153420076684,0.8209876543209876,0.8051643192488263
0.5496778365515878,0.6240809552826232,0.8240740740740741,0.7934272300469484
0.5110049294346154,0.5516070772504582,0.8328189300411523,0.8333333333333334
0.5309832096099854,0.5955881281917643,0.8374485596707819,0.7981220657276995
0.5185329860129965,0.5631576733130245,0.8256172839506173,0.8075117370892019
0.30504042707352974,0.3466498075236737,0.8775720164609053,0.9014084507042254
0.15750608240625985,0.42682793491603066,0.9403292181069959,0.8826291079812206
0.11318294917053157,0.3620164707792757,0.9593621399176955,0.8990610328638498
0.0884393332717718,0.31254080188036526,0.9655349794238683,0.9061032863849765
0.06132697452764207,0.3586882734889855,0.9758230452674898,0.9154929577464789
0.05154413545941129,0.3405770988688922,0.9789094650205762,0.9248826291079812
0.031196456396791302,0.31179852227509863,0.9886831275720165,0.931924882629108
0.03276394518598178,0.2816285580995672,0.9881687242798354,0.9413145539906104
0.026814356647477843,0.28039386012359685,0.9912551440329218,0.9342723004694836
0.023347348085922714,0.26794005223842854,0.9897119341563786,0.9366197183098591
0.015727701751178002,0.27731853457683686,0.9948559670781894,0.931924882629108
0.013539911483494956,0.2768693344816216,0.9953703703703703,0.9295774647887324
0.013807781274936357,0.28567959973369966,0.9943415637860082,0.9366197183098591
0.013271048051830181,0.27884808249176946,0.9938271604938271,0.9342723004694836
0.015644069794573105,0.2763783035563751,0.992798353909465,0.9342723004694836
